id,text,language,platform,region,date,aspect,sentiment,sarcasm
337,Return approve pannala.,mix,support,DL,2025-12-02,refund,negative,0
338,"Idhu Price ok, but features compare pannitu paakanum.",ta,support,DL,2026-01-01,price,neutral,0
339,"Packaging damage, product scratch.",mix,support,TN,2026-01-10,packaging,negative,0
340,"Bug romba, worst experience.",mix,twitter,TN,2026-02-21,app,negative,0
341,Great service 👏 no response for 24 hours wait pannanum,ta,youtube,TS,2025-12-27,price,negative,1
342,Idhu 4 days la itself missing parts.,ta,reviews,KA,2026-01-20,quality,negative,0
343,Same product elsewhere cheaper.,en,instagram,TS,2026-02-08,price,negative,0
344,Costly and quality poor.,mix,instagram,KA,2026-01-26,price,negative,0
345,"App ok, sometimes slow.",en,reviews,KL,2026-01-04,app,neutral,0
346,Requested refund today.,en,reviews,KL,2026-02-15,refund,neutral,0
347,Wow amazing… missing parts 🙃,ta,youtube,DL,2026-01-10,packaging,negative,1
348,Return approve pannain.,en,support,MH,2025-12-22,refund,negative,0
349,Idhu Requested refund today.,ta,reviews,MH,2025-12-07,refund,neutral,0
350,Refund quick-a process aayiduchu ✅,en,reviews,KL,2026-02-15,refund,positive,0
351,"Material good, value for money.",en,youtube,KL,2026-02-25,quality,positive,0
352,"Support ticket raised, waiting.",mix,instagram,AP,2025-12-20,service,neutral,0
353,"Idhu Offer la nalla deal, excellent price.",ta,twitter,AP,2025-12-09,price,positive,0
354,Wow amazing… missing parts 🙃,en,support,KL,2025-12-16,delivery,negative,1
355,Same product elsewhere cheaper.,en,youtube,MH,2026-01-22,price,negative,0
356,"Refund stuck, no update.",en,reviews,AP,2026-02-04,refund,negative,0
357,"Packing super, safe-a vandhuduchu.",mix,support,AP,2026-01-21,packaging,positive,0
358,"Support team helpful, issue solve pannitanga.",mix,youtube,KL,2026-01-18,service,positive,0
359,Idhu 1 days la itself broke in 1 day.,ta,reviews,KL,2026-02-03,quality,negative,0
360,Packaging ok.,mix,twitter,KA,2026-02-05,packaging,neutral,0
361,Wow amazing… came damaged 🙃,ta,reviews,MH,2026-01-14,price,negative,1
362,Super quality… 9 days la came damaged 😏,ta,support,KA,2026-02-13,app,negative,1
363,"Refund stuck, no update.",en,reviews,KL,2025-12-21,refund,negative,0
364,"Idhu Support reply pannala, no response for 24 hours wait 😤",ta,support,KL,2026-01-28,service,negative,0
365,Price average.,en,youtube,TN,2025-12-31,price,neutral,0
366,Great service 👏 1 day wait pannanum,mix,youtube,KA,2026-01-19,service,negative,1
367,Login and checkout easy ✅,mix,twitter,DL,2026-01-08,app,positive,0
368,"Service worst, nobody answered.",mix,instagram,KA,2025-12-29,service,negative,0
369,Price ok for this quality.,en,twitter,MH,2025-12-22,price,positive,0
370,Super quality… 8 days la broke in 1 day 😏,mix,twitter,MH,2026-02-05,price,negative,1
371,"App crash aagudhu, battery drain.",mix,instagram,KL,2026-01-12,app,negative,0
372,Idhu Worth for money ✅,ta,youtube,DL,2026-02-09,price,positive,0
373,"Complaint raise panniten, no update.",mix,support,MH,2025-12-16,service,negative,0
374,"Idhu Packaging neat, no damage.",ta,twitter,KL,2025-12-04,packaging,positive,0
375,"Packing poor, box torn.",en,youtube,DL,2026-01-22,packaging,negative,0
376,Customer service excellent. Quick response.,en,reviews,MH,2026-02-06,service,positive,0
377,"Product mass, satisfied.",mix,reviews,MH,2026-01-01,quality,positive,0
378,"Refund stuck, no update.",mix,support,KL,2026-01-12,refund,negative,0
379,"Idhu Refund stuck, no update.",ta,support,KL,2025-12-27,refund,negative,0
380,"Offer la super deal, good price.",mix,youtube,TS,2026-01-07,price,positive,0
381,Refund came within 4 days.,en,instagram,KA,2025-12-01,refund,positive,0
382,Payment failure repeatedly.,mix,reviews,DL,2026-02-19,app,negative,0
383,Great service 👏 3 days wait pannanum,mix,instagram,TN,2026-02-18,delivery,negative,1
384,Idhu Quality romba mosam. damaged item iruku.,ta,reviews,TS,2026-01-13,quality,negative,0
385,Worth for money ✅,en,twitter,TS,2025-12-09,price,positive,0
386,"App crash aagudhu, damaged item.",mix,support,KA,2026-02-06,app,negative,0
387,Idhu Same product elsewhere cheaper.,ta,instagram,DL,2026-02-05,price,negative,0
388,Idhu Cheap feel. Not recommended.,ta,youtube,TS,2026-01-13,quality,negative,0
389,Same product elsewhere cheaper.,mix,support,AP,2025-12-29,price,negative,0
390,"Packing poor, box torn.",mix,support,TN,2025-12-14,packaging,negative,0
391,"Refund romba slow, 1 day aachu.",mix,youtube,DL,2026-02-05,refund,negative,0
392,Price ok for this quality.,en,youtube,KL,2026-02-09,price,positive,0
393,"Idhu No bubble wrap, romba mosam packing.",ta,twitter,KA,2026-01-07,packaging,negative,0
394,"Bug romba, worst experience.",mix,twitter,KL,2026-02-08,app,negative,0
395,"Refund romba slow, no response for 24 hours aachu.",mix,instagram,TN,2026-02-18,refund,negative,0
396,First impression average.,mix,support,TS,2025-12-16,quality,neutral,0
397,Great service 👏 3 days wait pannanum,en,twitter,TS,2025-12-25,packaging,negative,1
398,Idhu Costly and quality poor.,ta,twitter,KL,2026-01-26,price,negative,0
399,Idhu Will contact support later.,ta,instagram,DL,2025-12-14,service,neutral,0
400,Wow amazing… broke in 1 day 🙃,mix,support,MH,2025-12-28,packaging,negative,1
401,"Product nice, satisfied.",mix,support,MH,2025-12-08,quality,positive,0
402,Quality hate. overheating iruku.,mix,twitter,TS,2026-01-05,quality,negative,0
403,"Refund stuck, no update.",mix,instagram,KA,2026-02-22,refund,negative,0
404,Same product elsewhere cheaper.,en,youtube,DL,2025-11-28,price,negative,0
405,Price ok for this quality.,en,support,MH,2025-12-24,price,positive,0
406,"Packaging damage, product scratch.",mix,support,MH,2025-12-02,packaging,negative,0
407,Delivery worst. Tracking update ilin.,en,twitter,AP,2025-12-05,delivery,negative,0
408,"Support ticket raised, waiting.",mix,reviews,KA,2026-01-31,service,neutral,0
409,Price ok for this quality.,mix,reviews,TS,2026-02-06,price,positive,0
410,Idhu Will contact support later.,ta,instagram,MH,2025-11-29,service,neutral,0
411,Quality worst. overheating iruku.,mix,twitter,DL,2026-02-15,quality,negative,0
412,7 days in itself inte delivery.,en,instagram,AP,2025-12-08,quality,negative,0
413,"Material good, value for money.",mix,youtube,TS,2026-01-23,quality,positive,0
414,"Bug romba, worst experience.",mix,instagram,DL,2025-12-14,app,negative,0
415,"Delivery ok, but pakalam.",mix,support,TS,2025-12-12,delivery,neutral,0
416,"Support reply pannala, 2 hours wait 😤",mix,reviews,KL,2026-02-16,service,negative,0
417,"Refund romba slow, 1 day aachu.",mix,support,TS,2025-12-31,refund,negative,0
418,"Idhu Bug romba, romba mosam experience.",ta,reviews,DL,2025-12-14,app,negative,0
419,Idhu Not sure if worth yet.,ta,instagram,KA,2025-12-25,price,neutral,0
420,"App UI smooth, easy to use.",mix,instagram,KA,2025-12-05,app,positive,0
421,Idhu Replacement fast-a arrange pannanga.,ta,twitter,AP,2026-02-12,service,positive,0
422,"Idhu No bubble wrap, romba mosam packing.",ta,twitter,MH,2026-02-01,packaging,negative,0
423,Idhu Customer service nalla. Quick response.,ta,twitter,MH,2026-02-06,service,positive,0
424,"Idhu Return initiated, waiting.",ta,youtube,DL,2026-01-25,refund,neutral,0
425,Customer service semma. Quick response.,mix,reviews,DL,2025-12-08,service,positive,0
426,Customer care number busy.,mix,reviews,KL,2025-11-30,service,neutral,0
427,Wow amazing… broke in 1 day 🙃,mix,instagram,MH,2025-12-12,app,negative,1
428,"Fast delivery, 10 days in arrived ✅",en,reviews,TS,2026-01-31,delivery,positive,0
429,First impression average.,mix,instagram,TS,2025-12-17,quality,neutral,0
430,Wow amazing… broke in 1 day 🙃,en,youtube,AP,2026-02-15,refund,negative,1
431,"Courier rude, package damage aayiduchu.",mix,youtube,TS,2025-11-28,delivery,negative,0
432,Costly and quality poor.,mix,support,KA,2026-02-19,price,negative,0
433,Idhu Courier smooth-a deliver pannanga.,ta,support,KA,2026-01-01,delivery,positive,0
434,Super quality… 5 days la late delivery 😏,ta,instagram,TN,2025-12-01,quality,negative,1
435,"Material good, value for money.",mix,twitter,TN,2025-12-10,quality,positive,0
436,"App ok, sometimes slow.",en,support,MH,2026-02-08,app,neutral,0
437,"Courier rude, package damage aayiduchu.",en,youtube,DL,2026-01-07,delivery,negative,0
438,"Complaint raise panniten, no update.",mix,twitter,KA,2026-02-23,service,negative,0
439,Delivery super! on-time arrived.,mix,support,TN,2026-02-15,delivery,positive,0
440,Super quality… 6 days la late delivery 😏,en,youtube,DL,2025-12-30,packaging,negative,1
441,Costly and quality poor.,en,support,TS,2026-01-29,price,negative,0
442,Idhu 1 days la itself stopped working.,ta,twitter,KA,2025-12-12,quality,negative,0
443,Idhu Customer care number busy.,ta,youtube,TN,2026-01-10,service,neutral,0
444,Idhu Return/refund smooth experience.,ta,youtube,TN,2026-01-04,refund,positive,0
445,"App ok, sometimes slow.",mix,support,TS,2025-11-30,app,neutral,0
446,Installed. Will try inter.,en,reviews,KA,2025-12-16,app,neutral,0
447,"Packing super, safe-a arrived.",en,youtube,MH,2026-02-06,packaging,positive,0
448,Price ok for this quality.,mix,twitter,KL,2026-01-09,price,positive,0
449,"Bug very, worst experience.",en,youtube,DL,2026-02-25,app,negative,0
450,"Support ticket raised, waiting.",mix,youtube,DL,2025-12-24,service,neutral,0
451,"Courier rude, package damage aayiduchu.",mix,support,AP,2025-11-30,delivery,negative,0
452,Return approve pannala.,mix,instagram,KL,2025-12-09,refund,negative,0
453,App performance vera level.,en,support,DL,2025-12-11,app,positive,0
454,"Support reply pannain, 1 day wait 😤",en,twitter,TN,2026-02-01,service,negative,0
455,"Price ok, but features compare pannitu paakanum.",mix,youtube,KL,2026-02-03,price,neutral,0
456,"Idhu Courier rude, package damage aayiduchu.",ta,support,TN,2026-02-06,delivery,negative,0
457,First impression average.,en,youtube,KA,2026-02-08,quality,neutral,0
458,"Service worst, nobody answered.",en,instagram,TN,2025-11-30,service,negative,0
459,"Support team helpful, issue solve pannitanga.",mix,support,KA,2026-02-10,service,positive,0
460,Wow amazing… broke in 1 day 🙃,ta,reviews,DL,2026-02-07,refund,negative,1
461,Customer care number busy.,en,reviews,KL,2026-01-26,service,neutral,0
462,Same product elsewhere cheaper.,en,youtube,MH,2026-01-07,price,negative,0
463,Will contact support later.,mix,instagram,AP,2026-01-02,service,neutral,0
464,Payment failure repeatedly.,en,youtube,TN,2026-02-03,app,negative,0
465,Costly and quality poor.,mix,reviews,AP,2025-12-05,price,negative,0
466,Installed. Will try later.,mix,instagram,KA,2026-02-19,app,neutral,0
467,"Packaging damage, product scratch.",en,reviews,TN,2025-12-19,packaging,negative,0
468,"Material good, value for money.",mix,twitter,AP,2025-12-08,quality,positive,0
469,Great service 👏 2 hours wait pannanum,ta,support,AP,2026-02-08,quality,negative,1
470,Idhu Quality romba mosam. overheating iruku.,ta,youtube,TS,2026-01-21,quality,negative,0
471,Idhu Refund quick-a process aayiduchu ✅,ta,twitter,KL,2026-01-13,refund,positive,0
472,Idhu Return approve pannala.,ta,twitter,KL,2025-12-27,refund,negative,0
473,"Idhu Service romba mosam, nobody answered.",ta,instagram,TS,2026-02-19,service,negative,0
474,Requested refund today.,en,instagram,AP,2026-01-02,refund,neutral,0
475,"Compinint raise panniten, no update.",en,reviews,MH,2025-12-14,service,negative,0
476,Idhu Price ok for this quality.,ta,support,AP,2026-01-20,price,positive,0
477,"Packing super, safe-a arrived.",en,support,TN,2026-01-29,packaging,positive,0
478,Courier smooth-a deliver pannanga.,mix,reviews,TS,2026-02-25,delivery,positive,0
479,Login and checkout easy ✅,en,youtube,TS,2026-01-25,app,positive,0
480,App performance super.,mix,support,TS,2026-01-05,app,positive,0
481,"No bubble wrap, worst packing.",mix,support,AP,2026-01-08,packaging,negative,0
482,Great service 👏 3 days wait pannanum,ta,youtube,MH,2026-02-07,packaging,negative,1
483,Worth for money ✅,mix,twitter,TS,2026-02-19,price,positive,0
484,Delivery worst. Tracking update illa.,mix,youtube,DL,2025-12-29,delivery,negative,0
485,Idhu Price average.,ta,instagram,TS,2026-02-19,price,neutral,0
486,"Refund romba slow, 3 days aachu.",mix,twitter,TS,2026-01-09,refund,negative,0
487,"App ok, sometimes slow.",en,instagram,AP,2025-12-23,app,neutral,0
488,Price ok for this quality.,mix,reviews,AP,2026-01-26,price,positive,0
489,Idhu Worth for money ✅,ta,reviews,TS,2025-11-28,price,positive,0
490,"Delivery very inte, 6 days deiny 😡",en,support,TN,2026-02-16,delivery,negative,0
491,Looks fine. Long-term paakanum.,en,support,MH,2026-01-16,quality,neutral,0
492,Box normal-a irundhuchu.,mix,twitter,TN,2025-12-05,packaging,neutral,0
493,Costly and quality poor.,mix,youtube,MH,2025-12-29,price,negative,0
494,Payment failure repeatedly.,en,instagram,DL,2026-02-11,app,negative,0
495,"Refund stuck, no update.",mix,support,MH,2025-12-20,refund,negative,0
496,Idhu Customer care number busy.,ta,reviews,KL,2026-02-23,service,neutral,0
497,"Complaint raise panniten, no update.",mix,twitter,KL,2025-12-30,service,negative,0
498,Will contact support later.,mix,reviews,KA,2025-12-10,service,neutral,0
499,Idhu Cheap feel. Not recommended.,ta,twitter,TN,2025-12-06,quality,negative,0
500,Payment failure repeatedly.,en,twitter,TN,2026-02-20,app,negative,0
501,Delivery super! on-time arrived.,en,reviews,TS,2026-01-27,delivery,positive,0
502,"App ok, sometimes slow.",mix,reviews,DL,2025-12-12,app,neutral,0
503,"App ok, sometimes slow.",mix,twitter,MH,2026-01-12,app,neutral,0
504,"Packing poor, box torn.",en,reviews,TN,2026-02-19,packaging,negative,0
505,"Bug very, worst experience.",en,instagram,AP,2025-12-14,app,negative,0
506,"Support reply pannala, 1 day wait 😤",mix,support,TN,2026-02-17,service,negative,0
507,First impression average.,mix,twitter,DL,2026-01-17,quality,neutral,0
508,"Packing poor, box torn.",en,twitter,KA,2025-12-01,packaging,negative,0
509,"App crash aagudhu, screen issue.",mix,instagram,MH,2025-11-28,app,negative,0
510,Return approve pannala.,mix,twitter,TS,2025-12-10,refund,negative,0
511,Refund quick-a process aayiduchu ✅,en,reviews,DL,2026-01-07,refund,positive,0
512,Wow amazing… missing parts 🙃,mix,twitter,TN,2026-01-01,quality,negative,1
513,"Packing poor, box torn.",en,reviews,KA,2025-12-28,packaging,negative,0
514,"Delivery ok, but pakalam.",mix,twitter,AP,2025-11-27,delivery,neutral,0
515,"Bug very, worst experience.",en,reviews,DL,2026-02-23,app,negative,0
516,"Service worst, nobody answered.",mix,instagram,KA,2026-02-13,service,negative,0
517,Idhu Will contact support later.,ta,support,TN,2025-12-27,service,neutral,0
518,"Price very high, not worth.",en,instagram,AP,2026-01-01,price,negative,0
519,Costly and quality poor.,mix,twitter,MH,2025-12-03,price,negative,0
520,Wow amazing… broke in 1 day 🙃,en,reviews,DL,2025-12-02,refund,negative,1
521,Worth for money ✅,mix,twitter,DL,2026-01-28,price,positive,0
522,Quality worth! build strong 💯,mix,instagram,AP,2026-02-21,quality,positive,0
523,App performance semma.,en,instagram,AP,2026-01-14,app,positive,0
524,Idhu Costly and quality poor.,ta,support,KA,2026-01-24,price,negative,0
525,3 days in itself stopped working.,en,instagram,KL,2026-01-08,quality,negative,0
526,"Complaint raise panniten, no update.",mix,instagram,AP,2026-01-09,service,negative,0
527,"Packaging neat, no damage.",mix,instagram,DL,2025-12-08,packaging,positive,0
528,Wow amazing… came damaged 🙃,en,reviews,MH,2025-12-28,delivery,negative,1
529,"Price romba high, not worth.",mix,instagram,TS,2026-02-08,price,negative,0
530,"Support team helpful, issue solve pannitanga.",en,reviews,TS,2026-01-27,service,positive,0
531,App performance good.,mix,reviews,MH,2025-12-24,app,positive,0
532,"App ok, sometimes slow.",en,instagram,KL,2026-02-25,app,neutral,0
533,Refund quick-a process aayiduchu ✅,mix,youtube,DL,2026-02-15,refund,positive,0
534,"Idhu Material good, value for money.",ta,youtube,AP,2026-02-24,quality,positive,0
535,"Bug romba, worst experience.",mix,twitter,KL,2025-12-11,app,negative,0
536,"Offer la super deal, worth price.",mix,support,MH,2026-02-25,price,positive,0
537,Wow amazing… stopped working 🙃,mix,support,AP,2026-02-24,app,negative,1
538,Idhu Cheap feel. Not recommended.,ta,reviews,TS,2026-01-01,quality,negative,0
539,Super quality… 5 days la late delivery 😏,mix,twitter,DL,2026-01-26,packaging,negative,1
540,"Support team helpful, issue solve pannitanga.",mix,youtube,TS,2026-02-21,service,positive,0
541,Great service 👏 2 hours wait pannanum,en,twitter,TN,2025-12-18,quality,negative,1
542,Same product elsewhere cheaper.,en,instagram,DL,2026-02-01,price,negative,0
543,Cheap feel. Not recommended.,mix,reviews,AP,2026-02-17,quality,negative,0
544,"Bug very, worst experience.",en,reviews,KL,2026-02-09,app,negative,0
545,"Service worst, nobody answered.",mix,support,KL,2025-12-13,service,negative,0
546,Requested refund today.,en,twitter,DL,2025-12-15,refund,neutral,0
547,"No bubble wrap, worst packing.",en,instagram,KL,2025-12-19,packaging,negative,0
548,"Price romba high, not worth.",mix,youtube,AP,2026-01-13,price,negative,0
549,Super quality… 1 days la came damaged 😏,ta,support,AP,2025-12-17,quality,negative,1
550,Customer service mass. Quick response.,en,instagram,AP,2026-01-24,service,positive,0
551,"Idhu App ok, sometimes slow.",ta,youtube,MH,2026-01-26,app,neutral,0
552,Same product elsewhere cheaper.,mix,support,MH,2025-12-11,price,negative,0
553,Idhu Arrived. Will test and update.,ta,twitter,KL,2026-02-12,delivery,neutral,0
554,Refund came within 7 days.,mix,twitter,AP,2026-01-31,refund,positive,0
555,"Courier rude, package damage aayiduchu.",en,youtube,MH,2026-01-16,delivery,negative,0
556,9 days la itself missing parts.,mix,youtube,KL,2026-01-23,quality,negative,0
557,Cheap feel. Not recommended.,mix,reviews,KA,2026-01-19,quality,negative,0
558,Wow amazing… broke in 1 day 🙃,ta,support,TN,2026-01-14,quality,negative,1
559,"Compinint raise panniten, no update.",en,support,KA,2026-01-25,service,negative,0
560,Great service 👏 no response for 24 hours wait pannanum,mix,youtube,TN,2026-02-09,service,negative,1
561,Idhu Price average.,ta,twitter,TN,2025-12-16,price,neutral,0
562,Wow amazing… came damaged 🙃,en,instagram,MH,2025-11-30,service,negative,1
563,"Packaging damage, product scratch.",mix,youtube,MH,2026-02-09,packaging,negative,0
564,Well packed ✅,en,support,MH,2025-11-29,packaging,positive,0
565,Price ok for this quality.,en,instagram,KL,2025-12-03,price,positive,0
566,"Product mass, satisfied.",mix,twitter,TS,2026-01-31,quality,positive,0
567,Requested refund today.,en,youtube,KL,2025-12-31,refund,neutral,0
568,Great service 👏 1 hour wait pannanum,ta,reviews,KL,2026-01-18,quality,negative,1
569,"Price romba high, not worth.",mix,instagram,TS,2025-12-21,price,negative,0
570,"Idhu Delivery romba late, 6 days delay 😡",ta,youtube,AP,2026-01-05,delivery,negative,0
571,"App crash aagudhu, damaged item.",mix,twitter,KL,2025-12-12,app,negative,0
572,"Price very high, not worth.",en,twitter,KA,2026-01-20,price,negative,0
573,Delivery super! on-time arrived.,mix,support,TN,2026-02-10,delivery,positive,0
574,"App UI smooth, easy to use.",mix,twitter,TN,2025-12-12,app,positive,0
575,Idhu Costly and quality poor.,ta,youtube,DL,2026-02-09,price,negative,0
576,"Packing poor, box torn.",en,twitter,TN,2026-02-09,packaging,negative,0
577,Idhu App performance good.,ta,instagram,TN,2026-01-30,app,positive,0
578,"Support reply pannain, 3 days wait 😤",en,instagram,AP,2026-01-31,service,negative,0
579,"Idhu Packaging damage, product scratch.",ta,reviews,KA,2026-01-12,packaging,negative,0
580,Quality poor. camera blur iruku.,en,support,AP,2026-01-05,quality,negative,0
581,Return/refund smooth experience.,mix,reviews,DL,2026-02-21,refund,positive,0
582,"Complaint raise panniten, no update.",mix,twitter,TS,2025-12-12,service,negative,0
583,Worth for money ✅,mix,youtube,TN,2025-12-22,price,positive,0
584,"Service worst, nobody answered.",mix,support,KL,2026-02-10,service,negative,0
585,Wow amazing… broke in 1 day 🙃,en,instagram,KL,2026-01-24,packaging,negative,1
586,Customer service super. Quick response.,en,instagram,KA,2025-11-30,service,positive,0
587,Idhu Box normal-a irundhuchu.,ta,youtube,MH,2025-12-16,packaging,neutral,0
588,"Price romba high, not worth.",mix,reviews,KL,2026-01-28,price,negative,0
589,Great service 👏 3 days wait pannanum,mix,reviews,TN,2026-01-23,service,negative,1
590,Courier smooth-a deliver pannanga.,mix,instagram,TN,2026-02-06,delivery,positive,0
591,"Idhu Support ticket raised, waiting.",ta,twitter,AP,2026-02-07,service,neutral,0
592,"Complaint raise panniten, no update.",mix,reviews,KL,2026-02-10,service,negative,0
593,Idhu Delivery nalla! on-time arrived.,ta,youtube,KA,2026-01-10,delivery,positive,0
594,Quality ok. Normal usage ku podhum.,en,youtube,AP,2025-12-04,quality,neutral,0
595,Installed. Will try later.,mix,youtube,TN,2025-12-11,app,neutral,0
596,Super quality… 1 days la missing parts 😏,mix,reviews,DL,2026-02-07,app,negative,1
597,Idhu Installed. Will try later.,ta,support,AP,2025-11-29,app,neutral,0
598,"Courier rude, package damage aayiduchu.",mix,instagram,MH,2026-01-09,delivery,negative,0
599,Same product elsewhere cheaper.,mix,twitter,AP,2026-02-03,price,negative,0
600,Requested refund today.,en,support,KA,2025-12-08,refund,neutral,0
601,"Support team helpful, issue solve pannitanga.",mix,instagram,AP,2026-01-10,service,positive,0
602,"Idhu Complaint raise panniten, no update.",ta,youtube,AP,2026-02-14,service,negative,0
603,"Service worst, nobody answered.",en,reviews,KA,2025-12-31,service,negative,0
604,Price ok for this quality.,en,instagram,KA,2026-02-22,price,positive,0
605,Quality ok. Normal usage ku podhum.,mix,youtube,DL,2026-02-17,quality,neutral,0
606,"Idhu Price romba high, not worth.",ta,instagram,TN,2026-01-05,price,negative,0
607,Idhu Quality romba mosam. damaged item iruku.,ta,twitter,KA,2025-12-30,quality,negative,0
608,Idhu Refund came within 5 days.,ta,youtube,TN,2026-02-12,refund,positive,0
609,Refund came within 10 days.,mix,instagram,KA,2025-12-11,refund,positive,0
610,"Delivery romba late, 10 days delay 😡",mix,youtube,DL,2026-01-08,delivery,negative,0
611,Not sure if worth yet.,mix,youtube,KA,2026-01-22,price,neutral,0
612,Great service 👏 1 day wait pannanum,mix,support,KL,2026-01-20,delivery,negative,1
613,Cheap feel. Not recommended.,en,youtube,AP,2026-01-05,quality,negative,0
614,Customer service worth. Quick response.,en,youtube,KL,2026-02-22,service,positive,0
615,Quality ok. Normal usage ku podhum.,en,instagram,TN,2026-01-04,quality,neutral,0
616,Idhu Quality ok. Normal usage ku podhum.,ta,twitter,DL,2026-01-28,quality,neutral,0
617,Idhu Login and checkout easy ✅,ta,support,KL,2025-12-05,app,positive,0
618,Login and checkout easy ✅,mix,reviews,KA,2026-02-17,app,positive,0
619,Delivery worst. Tracking update illa.,mix,instagram,TN,2025-12-28,delivery,negative,0
620,Same product elsewhere cheaper.,en,instagram,KL,2026-02-22,price,negative,0
621,Idhu Price average.,ta,reviews,AP,2026-02-08,price,neutral,0
622,Idhu Customer care number busy.,ta,youtube,KA,2026-02-24,service,neutral,0
623,Price ok for this quality.,mix,youtube,TN,2025-12-18,price,positive,0
624,Wow amazing… stopped working 🙃,en,reviews,MH,2025-12-12,refund,negative,1
625,Cheap feel. Not recommended.,mix,reviews,MH,2026-01-14,quality,negative,0
626,Payment failure repeatedly.,mix,reviews,KA,2025-12-20,app,negative,0
627,"Idhu Complaint raise panniten, no update.",ta,youtube,KA,2026-02-09,service,negative,0
628,"Support team helpful, issue solve pannitanga.",en,instagram,MH,2026-01-15,service,positive,0
629,Looks fine. Long-term paakanum.,mix,reviews,KA,2026-01-11,quality,neutral,0
630,Super quality… 3 days la broke in 1 day 😏,ta,youtube,AP,2025-12-13,quality,negative,1
631,Great service 👏 2 hours wait pannanum,ta,support,KA,2026-01-29,quality,negative,1
632,3 days in itself broke in 1 day.,en,support,MH,2026-01-21,quality,negative,0
633,Refund status pending.,mix,youtube,DL,2026-01-12,refund,neutral,0
634,"Support team helpful, issue solve pannitanga.",en,youtube,KA,2026-01-28,service,positive,0
635,Price ok for this quality.,mix,reviews,TN,2025-12-30,price,positive,0
636,"Idhu Product excellent, satisfied.",ta,support,MH,2026-01-28,quality,positive,0
637,Arrived. Will test and update.,mix,youtube,KA,2025-12-20,delivery,neutral,0
638,Great service 👏 1 day wait pannanum,en,twitter,AP,2025-12-28,price,negative,1
639,"Product semma, satisfied.",mix,twitter,MH,2026-01-16,quality,positive,0
640,Refund status pending.,mix,reviews,MH,2026-01-24,refund,neutral,0
641,Idhu Payment failure repeatedly.,ta,support,MH,2025-12-13,app,negative,0
642,"Idhu Packing poor, box torn.",ta,twitter,AP,2026-01-17,packaging,negative,0
643,Not sure if worth yet.,mix,reviews,AP,2026-01-02,price,neutral,0
644,Wow amazing… came damaged 🙃,mix,youtube,KA,2026-02-20,packaging,negative,1
645,"Support ticket raised, waiting.",mix,reviews,AP,2026-01-26,service,neutral,0
646,Idhu Customer service good. Quick response.,ta,reviews,MH,2025-12-08,service,positive,0
647,"Packing poor, box torn.",mix,support,MH,2025-12-07,packaging,negative,0
648,Super quality… 10 days la missing parts 😏,mix,youtube,MH,2025-12-28,price,negative,1
649,Idhu Courier smooth-a deliver pannanga.,ta,twitter,TS,2025-12-02,delivery,positive,0
650,"Idhu App crash aagudhu, screen issue.",ta,youtube,TS,2026-01-11,app,negative,0
651,Great service 👏 1 day wait pannanum,mix,twitter,AP,2025-12-07,refund,negative,1
652,Idhu UI average.,ta,reviews,AP,2026-02-14,app,neutral,0
653,"Packing super, safe-a vandhuduchu.",mix,twitter,KL,2026-01-21,packaging,positive,0
654,Payment failure repeatedly.,mix,reviews,AP,2026-02-23,app,negative,0
655,Wow amazing… stopped working 🙃,mix,reviews,MH,2026-01-04,app,negative,1
656,Price ok for this quality.,mix,twitter,TN,2026-02-24,price,positive,0
657,"Idhu Refund romba slow, 3 days aachu.",ta,support,MH,2025-12-21,refund,negative,0
658,"Delivery romba late, 8 days delay 😡",mix,instagram,KA,2026-02-24,delivery,negative,0
659,Wow amazing… came damaged 🙃,ta,support,KL,2026-01-16,price,negative,1
660,Idhu Payment failure repeatedly.,ta,reviews,DL,2026-01-19,app,negative,0
661,Well packed ✅,en,support,MH,2026-02-21,packaging,positive,0
662,"Product excellent, satisfied.",en,twitter,TS,2025-12-31,quality,positive,0
663,Payment failure repeatedly.,mix,twitter,AP,2025-12-17,app,negative,0
664,Not sure if worth yet.,mix,youtube,TS,2026-02-12,price,neutral,0
665,"App UI smooth, easy to use.",en,youtube,MH,2026-01-26,app,positive,0
666,"Offer la super deal, semma price.",mix,instagram,KA,2026-02-12,price,positive,0
667,"Packing poor, box torn.",mix,twitter,TN,2026-01-11,packaging,negative,0
668,4 days la itself came damaged.,mix,twitter,AP,2026-02-14,quality,negative,0
669,Refund quick-a process aayiduchu ✅,en,support,TN,2025-12-31,refund,positive,0
670,Return approve pannain.,en,support,TS,2025-12-10,refund,negative,0
671,Price average.,mix,youtube,MH,2026-02-25,price,neutral,0
672,Idhu Arrived. Will test and update.,ta,instagram,DL,2026-01-22,delivery,neutral,0
673,Super quality… 4 days la missing parts 😏,ta,youtube,TN,2026-01-13,price,negative,1
674,Worth for money ✅,en,support,DL,2026-01-19,price,positive,0
675,"Return initiated, waiting.",en,youtube,MH,2025-11-30,refund,neutral,0
676,Quality ok. Normal usage ku podhum.,en,reviews,KL,2025-12-18,quality,neutral,0
677,"App crash aagudhu, damaged item.",mix,support,MH,2026-01-03,app,negative,0
678,"Refund stuck, no update.",mix,support,KL,2026-02-13,refund,negative,0
679,Idhu Refund came within 6 days.,ta,reviews,TS,2026-02-24,refund,positive,0
680,"Product vera level, satisfied.",en,instagram,AP,2026-02-01,quality,positive,0
