id,text,language,platform,region,date,aspect,sentiment,sarcasm,clean_text,detected_lang
243,"App ok, sometimes slow.",mix,youtube,TN,2026-02-17,app,neutral,0,"app ok, sometimes slow.",en
244,Great service 👏 3 days wait pannanum,mix,twitter,KA,2026-01-03,refund,negative,1,great service 👏 3 days wait pannanum,en
245,Wow amazing… stopped working 🙃,mix,twitter,DL,2025-11-28,delivery,negative,1,wow amazing… stopped working 🙃,en
246,"Service worst, nobody answered.",mix,youtube,TS,2025-12-08,service,negative,0,"service worst, nobody answered.",en
247,Great service 👏 2 hours wait pannanum,en,reviews,DL,2026-02-23,quality,negative,1,great service 👏 2 hours wait pannanum,en
248,Wow amazing… missing parts 🙃,ta,twitter,MH,2025-12-17,price,negative,1,wow amazing… missing parts 🙃,en
249,Idhu Return approve pannala.,ta,reviews,TS,2025-12-20,refund,negative,0,idhu return approve pannala.,it
250,"Compinint raise panniten, no update.",en,reviews,TN,2026-01-22,service,negative,0,"compinint raise panniten, no update.",fr
251,"Idhu Refund romba slow, no response for 24 hours aachu.",ta,support,MH,2026-02-08,refund,negative,0,"idhu refund romba slow, no response for 24 hours aachu.",en
252,"Support reply pannala, 1 hour wait 😤",mix,instagram,MH,2026-01-27,service,negative,0,"support reply pannala, 1 hour wait 😤",en
253,"Idhu Bug romba, romba mosam experience.",ta,support,KA,2026-01-26,app,negative,0,"idhu bug romba, romba mosam experience.",es
254,9 days la itself broke in 1 day.,mix,support,TN,2025-12-25,quality,negative,0,9 days la itself broke in 1 day.,en
255,"Refund romba slow, 1 hour aachu.",mix,reviews,TS,2025-12-08,refund,negative,0,"refund romba slow, 1 hour aachu.",en
256,Will contact support inter.,en,twitter,AP,2026-02-06,service,neutral,0,will contact support inter.,en
257,"No bubble wrap, worst packing.",mix,reviews,KA,2026-01-09,packaging,negative,0,"no bubble wrap, worst packing.",en
258,Idhu No comments on packaging.,ta,youtube,AP,2026-01-23,packaging,neutral,0,idhu no comments on packaging.,en
259,Idhu Refund came within 6 days.,ta,support,KL,2026-02-01,refund,positive,0,idhu refund came within 6 days.,en
260,Great service 👏 2 hours wait pannanum,en,reviews,MH,2025-12-10,app,negative,1,great service 👏 2 hours wait pannanum,en
261,Courier smooth-a deliver pannanga.,mix,reviews,DL,2025-12-24,delivery,positive,0,courier smooth-a deliver pannanga.,en
262,Requested refund today.,mix,support,MH,2025-12-12,refund,neutral,0,requested refund today.,en
263,Great service 👏 2 hours wait pannanum,en,reviews,TS,2026-02-09,delivery,negative,1,great service 👏 2 hours wait pannanum,en
264,"Price ok, but features compare pannitu paakanum.",mix,instagram,MH,2025-12-10,price,neutral,0,"price ok, but features compare pannitu paakanum.",ro
265,"Idhu Complaint raise panniten, no update.",ta,youtube,KL,2026-01-23,service,negative,0,"idhu complaint raise panniten, no update.",fr
266,Well packed ✅,mix,youtube,DL,2026-02-05,packaging,positive,0,well packed ✅,en
267,Costly and quality poor.,en,instagram,MH,2026-01-30,price,negative,0,costly and quality poor.,en
268,Idhu Packaging ok.,ta,reviews,MH,2026-02-21,packaging,neutral,0,idhu packaging ok.,tl
269,"Support team helpful, issue solve pannitanga.",mix,twitter,KA,2026-02-20,service,positive,0,"support team helpful, issue solve pannitanga.",en
270,Idhu Requested refund today.,ta,youtube,TN,2025-12-23,refund,neutral,0,idhu requested refund today.,en
271,"Bug romba, worst experience.",mix,instagram,TS,2026-02-17,app,negative,0,"bug romba, worst experience.",en
272,"Support reply pannain, 3 days wait 😤",en,youtube,AP,2026-02-05,service,negative,0,"support reply pannain, 3 days wait 😤",en
273,Payment failure repeatedly.,mix,youtube,MH,2026-02-10,app,negative,0,payment failure repeatedly.,en
274,"Courier rude, package damage aayiduchu.",en,instagram,KA,2026-01-31,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
275,"Price romba high, not worth.",mix,support,KA,2025-12-29,price,negative,0,"price romba high, not worth.",en
276,Quality hate. overheating iruku.,mix,twitter,TS,2026-02-15,quality,negative,0,quality hate. overheating iruku.,en
277,Idhu Requested refund today.,ta,youtube,MH,2026-02-02,refund,neutral,0,idhu requested refund today.,en
278,"Packing poor, box torn.",mix,twitter,AP,2026-01-10,packaging,negative,0,"packing poor, box torn.",en
279,"Refund romba slow, 3 days aachu.",mix,support,TS,2026-01-26,refund,negative,0,"refund romba slow, 3 days aachu.",en
280,Idhu UI average.,ta,support,TS,2025-12-28,app,neutral,0,idhu ui average.,no
281,"Idhu Bug romba, romba mosam experience.",ta,twitter,KL,2026-02-01,app,negative,0,"idhu bug romba, romba mosam experience.",es
282,Packaging ok.,mix,twitter,TN,2025-12-18,packaging,neutral,0,packaging ok.,tl
283,"Price very high, not worth.",en,reviews,TS,2026-02-17,price,negative,0,"price very high, not worth.",en
284,"Idhu Delivery ok, but pakalam.",ta,instagram,TN,2025-12-29,delivery,neutral,0,"idhu delivery ok, but pakalam.",id
285,"Idhu App crash aagudhu, overheating.",ta,reviews,AP,2026-01-06,app,negative,0,"idhu app crash aagudhu, overheating.",en
286,Refund quick-a process aayiduchu ✅,mix,support,MH,2025-12-02,refund,positive,0,refund quick-a process aayiduchu ✅,en
287,Quality hate. battery drain iruku.,en,reviews,DL,2026-01-14,quality,negative,0,quality hate. battery drain iruku.,en
288,"Idhu App ok, sometimes slow.",ta,support,AP,2026-01-03,app,neutral,0,"idhu app ok, sometimes slow.",sv
289,"Fast delivery, 10 days in arrived ✅",en,twitter,TN,2026-02-08,delivery,positive,0,"fast delivery, 10 days in arrived ✅",en
290,"Support team helpful, issue solve pannitanga.",en,support,MH,2025-12-15,service,positive,0,"support team helpful, issue solve pannitanga.",en
291,Idhu Price average.,ta,support,MH,2025-12-03,price,neutral,0,idhu price average.,fr
292,Same product elsewhere cheaper.,en,support,MH,2026-01-28,price,negative,0,same product elsewhere cheaper.,en
293,Packaging ok.,mix,instagram,TN,2026-01-06,packaging,neutral,0,packaging ok.,tl
294,No comments on packaging.,mix,youtube,TS,2026-01-06,packaging,neutral,0,no comments on packaging.,en
295,"Bug romba, worst experience.",mix,reviews,MH,2026-01-01,app,negative,0,"bug romba, worst experience.",en
296,Wow amazing… stopped working 🙃,mix,reviews,KL,2026-02-05,refund,negative,1,wow amazing… stopped working 🙃,en
297,"Refund stuck, no update.",en,instagram,KL,2026-02-03,refund,negative,0,"refund stuck, no update.",en
298,Payment failure repeatedly.,mix,support,TN,2026-02-09,app,negative,0,payment failure repeatedly.,en
299,Great service 👏 no response for 24 hours wait pannanum,ta,instagram,MH,2026-01-12,service,negative,1,great service 👏 no response for 24 hours wait pannanum,en
300,Not sure if worth yet.,mix,support,AP,2026-01-31,price,neutral,0,not sure if worth yet.,en
301,Idhu Payment failure repeatedly.,ta,support,KA,2025-12-14,app,negative,0,idhu payment failure repeatedly.,en
302,"Idhu App ok, sometimes slow.",ta,youtube,AP,2025-12-02,app,neutral,0,"idhu app ok, sometimes slow.",sv
303,Idhu Delivery romba mosam. Tracking update illa.,ta,instagram,MH,2026-02-01,delivery,negative,0,idhu delivery romba mosam. tracking update illa.,sv
304,Cheap feel. Not recommended.,mix,support,TN,2026-02-16,quality,negative,0,cheap feel. not recommended.,en
305,"Bug romba, worst experience.",mix,twitter,DL,2026-02-01,app,negative,0,"bug romba, worst experience.",en
306,Replacement fast-a arrange pannanga.,mix,reviews,DL,2026-02-12,service,positive,0,replacement fast-a arrange pannanga.,fr
307,"Bug very, worst experience.",en,instagram,KL,2025-12-16,app,negative,0,"bug very, worst experience.",en
308,Idhu Refund quick-a process aayiduchu ✅,ta,twitter,KL,2026-01-27,refund,positive,0,idhu refund quick-a process aayiduchu ✅,en
309,Super quality… 9 days la stopped working 😏,mix,instagram,TN,2026-02-08,price,negative,1,super quality… 9 days la stopped working 😏,en
310,Delivery worst. Tracking update ilin.,en,instagram,TS,2025-12-04,delivery,negative,0,delivery worst. tracking update ilin.,en
311,Installed. Will try later.,mix,youtube,TN,2025-12-07,app,neutral,0,installed. will try later.,en
312,Idhu No comments on packaging.,ta,support,KA,2025-12-20,packaging,neutral,0,idhu no comments on packaging.,en
313,No comments on packaging.,en,instagram,TN,2026-01-14,packaging,neutral,0,no comments on packaging.,en
314,Login and checkout easy ✅,en,instagram,AP,2026-02-12,app,positive,0,login and checkout easy ✅,en
315,"Packaging damage, product scratch.",mix,twitter,DL,2025-12-08,packaging,negative,0,"packaging damage, product scratch.",en
316,"Material good, value for money.",en,twitter,DL,2026-02-24,quality,positive,0,"material good, value for money.",en
317,Refund status pending.,mix,support,MH,2025-12-09,refund,neutral,0,refund status pending.,da
318,Idhu Well packed ✅,ta,reviews,TS,2025-12-29,packaging,positive,0,idhu well packed ✅,cy
319,Idhu Delivery romba mosam. Tracking update illa.,ta,instagram,AP,2026-02-23,delivery,negative,0,idhu delivery romba mosam. tracking update illa.,sv
320,"Idhu Packaging damage, product scratch.",ta,youtube,KL,2026-02-03,packaging,negative,0,"idhu packaging damage, product scratch.",en
321,Box normal-a irundhuchu.,mix,support,DL,2026-01-27,packaging,neutral,0,box normal-a irundhuchu.,en
322,Idhu Refund quick-a process aayiduchu ✅,ta,reviews,MH,2025-12-14,refund,positive,0,idhu refund quick-a process aayiduchu ✅,ca
323,"Packing super, safe-a vandhuduchu.",mix,youtube,AP,2026-02-05,packaging,positive,0,"packing super, safe-a vandhuduchu.",en
324,"Support reply pannala, no response for 24 hours wait 😤",mix,reviews,TS,2025-12-08,service,negative,0,"support reply pannala, no response for 24 hours wait 😤",en
325,"App ok, sometimes slow.",mix,reviews,AP,2026-02-13,app,neutral,0,"app ok, sometimes slow.",no
326,Idhu Same product elsewhere cheaper.,ta,support,DL,2026-01-02,price,negative,0,idhu same product elsewhere cheaper.,en
327,Idhu Worth for money ✅,ta,twitter,MH,2025-12-17,price,positive,0,idhu worth for money ✅,en
328,"Price ok, but features compare pannitu paakanum.",mix,twitter,TS,2026-02-25,price,neutral,0,"price ok, but features compare pannitu paakanum.",ro
329,"Idhu Product worth, satisfied.",ta,youtube,DL,2025-12-25,quality,positive,0,"idhu product worth, satisfied.",en
330,Idhu Same product elsewhere cheaper.,ta,support,AP,2025-12-10,price,negative,0,idhu same product elsewhere cheaper.,en
331,"Idhu No bubble wrap, romba mosam packing.",ta,support,DL,2025-12-29,packaging,negative,0,"idhu no bubble wrap, romba mosam packing.",tl
332,"Service worst, nobody answered.",en,twitter,TS,2026-01-27,service,negative,0,"service worst, nobody answered.",en
333,Replacement fast-a arrange pannanga.,mix,support,KL,2026-02-03,service,positive,0,replacement fast-a arrange pannanga.,fr
334,Idhu Payment failure repeatedly.,ta,youtube,DL,2025-12-06,app,negative,0,idhu payment failure repeatedly.,en
335,Idhu Quality worth! build strong 💯,ta,instagram,KA,2026-01-29,quality,positive,0,idhu quality worth! build strong 💯,en
336,Idhu Refund quick-a process aayiduchu ✅,ta,support,KA,2026-01-11,refund,positive,0,idhu refund quick-a process aayiduchu ✅,en
337,Return approve pannala.,mix,support,DL,2025-12-02,refund,negative,0,return approve pannala.,it
338,"Idhu Price ok, but features compare pannitu paakanum.",ta,support,DL,2026-01-01,price,neutral,0,"idhu price ok, but features compare pannitu paakanum.",ro
339,"Packaging damage, product scratch.",mix,support,TN,2026-01-10,packaging,negative,0,"packaging damage, product scratch.",en
340,"Bug romba, worst experience.",mix,twitter,TN,2026-02-21,app,negative,0,"bug romba, worst experience.",en
341,Great service 👏 no response for 24 hours wait pannanum,ta,youtube,TS,2025-12-27,price,negative,1,great service 👏 no response for 24 hours wait pannanum,en
342,Idhu 4 days la itself missing parts.,ta,reviews,KA,2026-01-20,quality,negative,0,idhu 4 days la itself missing parts.,en
343,Same product elsewhere cheaper.,en,instagram,TS,2026-02-08,price,negative,0,same product elsewhere cheaper.,en
344,Costly and quality poor.,mix,instagram,KA,2026-01-26,price,negative,0,costly and quality poor.,en
345,"App ok, sometimes slow.",en,reviews,KL,2026-01-04,app,neutral,0,"app ok, sometimes slow.",en
346,Requested refund today.,en,reviews,KL,2026-02-15,refund,neutral,0,requested refund today.,en
347,Wow amazing… missing parts 🙃,ta,youtube,DL,2026-01-10,packaging,negative,1,wow amazing… missing parts 🙃,en
348,Return approve pannain.,en,support,MH,2025-12-22,refund,negative,0,return approve pannain.,fr
349,Idhu Requested refund today.,ta,reviews,MH,2025-12-07,refund,neutral,0,idhu requested refund today.,en
350,Refund quick-a process aayiduchu ✅,en,reviews,KL,2026-02-15,refund,positive,0,refund quick-a process aayiduchu ✅,en
351,"Material good, value for money.",en,youtube,KL,2026-02-25,quality,positive,0,"material good, value for money.",en
352,"Support ticket raised, waiting.",mix,instagram,AP,2025-12-20,service,neutral,0,"support ticket raised, waiting.",en
353,"Idhu Offer la nalla deal, excellent price.",ta,twitter,AP,2025-12-09,price,positive,0,"idhu offer la nalla deal, excellent price.",it
354,Wow amazing… missing parts 🙃,en,support,KL,2025-12-16,delivery,negative,1,wow amazing… missing parts 🙃,en
355,Same product elsewhere cheaper.,en,youtube,MH,2026-01-22,price,negative,0,same product elsewhere cheaper.,en
356,"Refund stuck, no update.",en,reviews,AP,2026-02-04,refund,negative,0,"refund stuck, no update.",ro
357,"Packing super, safe-a vandhuduchu.",mix,support,AP,2026-01-21,packaging,positive,0,"packing super, safe-a vandhuduchu.",en
358,"Support team helpful, issue solve pannitanga.",mix,youtube,KL,2026-01-18,service,positive,0,"support team helpful, issue solve pannitanga.",en
359,Idhu 1 days la itself broke in 1 day.,ta,reviews,KL,2026-02-03,quality,negative,0,idhu 1 days la itself broke in 1 day.,so
360,Packaging ok.,mix,twitter,KA,2026-02-05,packaging,neutral,0,packaging ok.,tl
361,Wow amazing… came damaged 🙃,ta,reviews,MH,2026-01-14,price,negative,1,wow amazing… came damaged 🙃,so
362,Super quality… 9 days la came damaged 😏,ta,support,KA,2026-02-13,app,negative,1,super quality… 9 days la came damaged 😏,ca
363,"Refund stuck, no update.",en,reviews,KL,2025-12-21,refund,negative,0,"refund stuck, no update.",ro
364,"Idhu Support reply pannala, no response for 24 hours wait 😤",ta,support,KL,2026-01-28,service,negative,0,"idhu support reply pannala, no response for 24 hours wait 😤",en
365,Price average.,en,youtube,TN,2025-12-31,price,neutral,0,price average.,fr
366,Great service 👏 1 day wait pannanum,mix,youtube,KA,2026-01-19,service,negative,1,great service 👏 1 day wait pannanum,en
367,Login and checkout easy ✅,mix,twitter,DL,2026-01-08,app,positive,0,login and checkout easy ✅,en
368,"Service worst, nobody answered.",mix,instagram,KA,2025-12-29,service,negative,0,"service worst, nobody answered.",en
369,Price ok for this quality.,en,twitter,MH,2025-12-22,price,positive,0,price ok for this quality.,en
370,Super quality… 8 days la broke in 1 day 😏,mix,twitter,MH,2026-02-05,price,negative,1,super quality… 8 days la broke in 1 day 😏,en
371,"App crash aagudhu, battery drain.",mix,instagram,KL,2026-01-12,app,negative,0,"app crash aagudhu, battery drain.",en
372,Idhu Worth for money ✅,ta,youtube,DL,2026-02-09,price,positive,0,idhu worth for money ✅,en
373,"Complaint raise panniten, no update.",mix,support,MH,2025-12-16,service,negative,0,"complaint raise panniten, no update.",fr
374,"Idhu Packaging neat, no damage.",ta,twitter,KL,2025-12-04,packaging,positive,0,"idhu packaging neat, no damage.",tl
375,"Packing poor, box torn.",en,youtube,DL,2026-01-22,packaging,negative,0,"packing poor, box torn.",en
376,Customer service excellent. Quick response.,en,reviews,MH,2026-02-06,service,positive,0,customer service excellent. quick response.,fr
377,"Product mass, satisfied.",mix,reviews,MH,2026-01-01,quality,positive,0,"product mass, satisfied.",en
378,"Refund stuck, no update.",mix,support,KL,2026-01-12,refund,negative,0,"refund stuck, no update.",ro
379,"Idhu Refund stuck, no update.",ta,support,KL,2025-12-27,refund,negative,0,"idhu refund stuck, no update.",ro
380,"Offer la super deal, good price.",mix,youtube,TS,2026-01-07,price,positive,0,"offer la super deal, good price.",en
381,Refund came within 4 days.,en,instagram,KA,2025-12-01,refund,positive,0,refund came within 4 days.,en
382,Payment failure repeatedly.,mix,reviews,DL,2026-02-19,app,negative,0,payment failure repeatedly.,en
383,Great service 👏 3 days wait pannanum,mix,instagram,TN,2026-02-18,delivery,negative,1,great service 👏 3 days wait pannanum,en
384,Idhu Quality romba mosam. damaged item iruku.,ta,reviews,TS,2026-01-13,quality,negative,0,idhu quality romba mosam. damaged item iruku.,so
385,Worth for money ✅,en,twitter,TS,2025-12-09,price,positive,0,worth for money ✅,en
386,"App crash aagudhu, damaged item.",mix,support,KA,2026-02-06,app,negative,0,"app crash aagudhu, damaged item.",so
387,Idhu Same product elsewhere cheaper.,ta,instagram,DL,2026-02-05,price,negative,0,idhu same product elsewhere cheaper.,en
388,Idhu Cheap feel. Not recommended.,ta,youtube,TS,2026-01-13,quality,negative,0,idhu cheap feel. not recommended.,en
389,Same product elsewhere cheaper.,mix,support,AP,2025-12-29,price,negative,0,same product elsewhere cheaper.,en
390,"Packing poor, box torn.",mix,support,TN,2025-12-14,packaging,negative,0,"packing poor, box torn.",en
391,"Refund romba slow, 1 day aachu.",mix,youtube,DL,2026-02-05,refund,negative,0,"refund romba slow, 1 day aachu.",so
392,Price ok for this quality.,en,youtube,KL,2026-02-09,price,positive,0,price ok for this quality.,en
393,"Idhu No bubble wrap, romba mosam packing.",ta,twitter,KA,2026-01-07,packaging,negative,0,"idhu no bubble wrap, romba mosam packing.",tl
394,"Bug romba, worst experience.",mix,twitter,KL,2026-02-08,app,negative,0,"bug romba, worst experience.",en
395,"Refund romba slow, no response for 24 hours aachu.",mix,instagram,TN,2026-02-18,refund,negative,0,"refund romba slow, no response for 24 hours aachu.",en
396,First impression average.,mix,support,TS,2025-12-16,quality,neutral,0,first impression average.,en
397,Great service 👏 3 days wait pannanum,en,twitter,TS,2025-12-25,packaging,negative,1,great service 👏 3 days wait pannanum,en
398,Idhu Costly and quality poor.,ta,twitter,KL,2026-01-26,price,negative,0,idhu costly and quality poor.,en
399,Idhu Will contact support later.,ta,instagram,DL,2025-12-14,service,neutral,0,idhu will contact support later.,en
400,Wow amazing… broke in 1 day 🙃,mix,support,MH,2025-12-28,packaging,negative,1,wow amazing… broke in 1 day 🙃,en
401,"Product nice, satisfied.",mix,support,MH,2025-12-08,quality,positive,0,"product nice, satisfied.",en
402,Quality hate. overheating iruku.,mix,twitter,TS,2026-01-05,quality,negative,0,quality hate. overheating iruku.,en
403,"Refund stuck, no update.",mix,instagram,KA,2026-02-22,refund,negative,0,"refund stuck, no update.",ro
404,Same product elsewhere cheaper.,en,youtube,DL,2025-11-28,price,negative,0,same product elsewhere cheaper.,en
405,Price ok for this quality.,en,support,MH,2025-12-24,price,positive,0,price ok for this quality.,en
406,"Packaging damage, product scratch.",mix,support,MH,2025-12-02,packaging,negative,0,"packaging damage, product scratch.",en
407,Delivery worst. Tracking update ilin.,en,twitter,AP,2025-12-05,delivery,negative,0,delivery worst. tracking update ilin.,en
408,"Support ticket raised, waiting.",mix,reviews,KA,2026-01-31,service,neutral,0,"support ticket raised, waiting.",en
409,Price ok for this quality.,mix,reviews,TS,2026-02-06,price,positive,0,price ok for this quality.,en
410,Idhu Will contact support later.,ta,instagram,MH,2025-11-29,service,neutral,0,idhu will contact support later.,en
411,Quality worst. overheating iruku.,mix,twitter,DL,2026-02-15,quality,negative,0,quality worst. overheating iruku.,en
412,7 days in itself inte delivery.,en,instagram,AP,2025-12-08,quality,negative,0,7 days in itself inte delivery.,af
413,"Material good, value for money.",mix,youtube,TS,2026-01-23,quality,positive,0,"material good, value for money.",en
414,"Bug romba, worst experience.",mix,instagram,DL,2025-12-14,app,negative,0,"bug romba, worst experience.",en
415,"Delivery ok, but pakalam.",mix,support,TS,2025-12-12,delivery,neutral,0,"delivery ok, but pakalam.",id
416,"Support reply pannala, 2 hours wait 😤",mix,reviews,KL,2026-02-16,service,negative,0,"support reply pannala, 2 hours wait 😤",en
417,"Refund romba slow, 1 day aachu.",mix,support,TS,2025-12-31,refund,negative,0,"refund romba slow, 1 day aachu.",so
418,"Idhu Bug romba, romba mosam experience.",ta,reviews,DL,2025-12-14,app,negative,0,"idhu bug romba, romba mosam experience.",es
419,Idhu Not sure if worth yet.,ta,instagram,KA,2025-12-25,price,neutral,0,idhu not sure if worth yet.,en
420,"App UI smooth, easy to use.",mix,instagram,KA,2025-12-05,app,positive,0,"app ui smooth, easy to use.",en
421,Idhu Replacement fast-a arrange pannanga.,ta,twitter,AP,2026-02-12,service,positive,0,idhu replacement fast-a arrange pannanga.,fr
422,"Idhu No bubble wrap, romba mosam packing.",ta,twitter,MH,2026-02-01,packaging,negative,0,"idhu no bubble wrap, romba mosam packing.",tl
423,Idhu Customer service nalla. Quick response.,ta,twitter,MH,2026-02-06,service,positive,0,idhu customer service nalla. quick response.,it
424,"Idhu Return initiated, waiting.",ta,youtube,DL,2026-01-25,refund,neutral,0,"idhu return initiated, waiting.",en
425,Customer service semma. Quick response.,mix,reviews,DL,2025-12-08,service,positive,0,customer service semma. quick response.,fr
426,Customer care number busy.,mix,reviews,KL,2025-11-30,service,neutral,0,customer care number busy.,en
427,Wow amazing… broke in 1 day 🙃,mix,instagram,MH,2025-12-12,app,negative,1,wow amazing… broke in 1 day 🙃,pl
428,"Fast delivery, 10 days in arrived ✅",en,reviews,TS,2026-01-31,delivery,positive,0,"fast delivery, 10 days in arrived ✅",en
429,First impression average.,mix,instagram,TS,2025-12-17,quality,neutral,0,first impression average.,en
430,Wow amazing… broke in 1 day 🙃,en,youtube,AP,2026-02-15,refund,negative,1,wow amazing… broke in 1 day 🙃,en
431,"Courier rude, package damage aayiduchu.",mix,youtube,TS,2025-11-28,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
432,Costly and quality poor.,mix,support,KA,2026-02-19,price,negative,0,costly and quality poor.,en
433,Idhu Courier smooth-a deliver pannanga.,ta,support,KA,2026-01-01,delivery,positive,0,idhu courier smooth-a deliver pannanga.,en
434,Super quality… 5 days la late delivery 😏,ta,instagram,TN,2025-12-01,quality,negative,1,super quality… 5 days la late delivery 😏,fr
435,"Material good, value for money.",mix,twitter,TN,2025-12-10,quality,positive,0,"material good, value for money.",en
436,"App ok, sometimes slow.",en,support,MH,2026-02-08,app,neutral,0,"app ok, sometimes slow.",no
437,"Courier rude, package damage aayiduchu.",en,youtube,DL,2026-01-07,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
438,"Complaint raise panniten, no update.",mix,twitter,KA,2026-02-23,service,negative,0,"complaint raise panniten, no update.",fr
439,Delivery super! on-time arrived.,mix,support,TN,2026-02-15,delivery,positive,0,delivery super! on-time arrived.,en
440,Super quality… 6 days la late delivery 😏,en,youtube,DL,2025-12-30,packaging,negative,1,super quality… 6 days la late delivery 😏,fr
441,Costly and quality poor.,en,support,TS,2026-01-29,price,negative,0,costly and quality poor.,en
442,Idhu 1 days la itself stopped working.,ta,twitter,KA,2025-12-12,quality,negative,0,idhu 1 days la itself stopped working.,af
443,Idhu Customer care number busy.,ta,youtube,TN,2026-01-10,service,neutral,0,idhu customer care number busy.,en
444,Idhu Return/refund smooth experience.,ta,youtube,TN,2026-01-04,refund,positive,0,idhu return/refund smooth experience.,en
445,"App ok, sometimes slow.",mix,support,TS,2025-11-30,app,neutral,0,"app ok, sometimes slow.",no
446,Installed. Will try inter.,en,reviews,KA,2025-12-16,app,neutral,0,installed. will try inter.,en
447,"Packing super, safe-a arrived.",en,youtube,MH,2026-02-06,packaging,positive,0,"packing super, safe-a arrived.",en
448,Price ok for this quality.,mix,twitter,KL,2026-01-09,price,positive,0,price ok for this quality.,en
449,"Bug very, worst experience.",en,youtube,DL,2026-02-25,app,negative,0,"bug very, worst experience.",en
450,"Support ticket raised, waiting.",mix,youtube,DL,2025-12-24,service,neutral,0,"support ticket raised, waiting.",en
451,"Courier rude, package damage aayiduchu.",mix,support,AP,2025-11-30,delivery,negative,0,"courier rude, package damage aayiduchu.",fr
452,Return approve pannala.,mix,instagram,KL,2025-12-09,refund,negative,0,return approve pannala.,it
453,App performance vera level.,en,support,DL,2025-12-11,app,positive,0,app performance vera level.,it
454,"Support reply pannain, 1 day wait 😤",en,twitter,TN,2026-02-01,service,negative,0,"support reply pannain, 1 day wait 😤",en
455,"Price ok, but features compare pannitu paakanum.",mix,youtube,KL,2026-02-03,price,neutral,0,"price ok, but features compare pannitu paakanum.",ro
456,"Idhu Courier rude, package damage aayiduchu.",ta,support,TN,2026-02-06,delivery,negative,0,"idhu courier rude, package damage aayiduchu.",fr
457,First impression average.,en,youtube,KA,2026-02-08,quality,neutral,0,first impression average.,en
458,"Service worst, nobody answered.",en,instagram,TN,2025-11-30,service,negative,0,"service worst, nobody answered.",en
459,"Support team helpful, issue solve pannitanga.",mix,support,KA,2026-02-10,service,positive,0,"support team helpful, issue solve pannitanga.",en
460,Wow amazing… broke in 1 day 🙃,ta,reviews,DL,2026-02-07,refund,negative,1,wow amazing… broke in 1 day 🙃,en
461,Customer care number busy.,en,reviews,KL,2026-01-26,service,neutral,0,customer care number busy.,en
462,Same product elsewhere cheaper.,en,youtube,MH,2026-01-07,price,negative,0,same product elsewhere cheaper.,en
463,Will contact support later.,mix,instagram,AP,2026-01-02,service,neutral,0,will contact support later.,en
464,Payment failure repeatedly.,en,youtube,TN,2026-02-03,app,negative,0,payment failure repeatedly.,en
465,Costly and quality poor.,mix,reviews,AP,2025-12-05,price,negative,0,costly and quality poor.,en
466,Installed. Will try later.,mix,instagram,KA,2026-02-19,app,neutral,0,installed. will try later.,en
467,"Packaging damage, product scratch.",en,reviews,TN,2025-12-19,packaging,negative,0,"packaging damage, product scratch.",en
468,"Material good, value for money.",mix,twitter,AP,2025-12-08,quality,positive,0,"material good, value for money.",en
469,Great service 👏 2 hours wait pannanum,ta,support,AP,2026-02-08,quality,negative,1,great service 👏 2 hours wait pannanum,en
470,Idhu Quality romba mosam. overheating iruku.,ta,youtube,TS,2026-01-21,quality,negative,0,idhu quality romba mosam. overheating iruku.,en
471,Idhu Refund quick-a process aayiduchu ✅,ta,twitter,KL,2026-01-13,refund,positive,0,idhu refund quick-a process aayiduchu ✅,en
472,Idhu Return approve pannala.,ta,twitter,KL,2025-12-27,refund,negative,0,idhu return approve pannala.,it
473,"Idhu Service romba mosam, nobody answered.",ta,instagram,TS,2026-02-19,service,negative,0,"idhu service romba mosam, nobody answered.",en
474,Requested refund today.,en,instagram,AP,2026-01-02,refund,neutral,0,requested refund today.,en
475,"Compinint raise panniten, no update.",en,reviews,MH,2025-12-14,service,negative,0,"compinint raise panniten, no update.",fr
476,Idhu Price ok for this quality.,ta,support,AP,2026-01-20,price,positive,0,idhu price ok for this quality.,en
477,"Packing super, safe-a arrived.",en,support,TN,2026-01-29,packaging,positive,0,"packing super, safe-a arrived.",en
478,Courier smooth-a deliver pannanga.,mix,reviews,TS,2026-02-25,delivery,positive,0,courier smooth-a deliver pannanga.,en
479,Login and checkout easy ✅,en,youtube,TS,2026-01-25,app,positive,0,login and checkout easy ✅,en
480,App performance super.,mix,support,TS,2026-01-05,app,positive,0,app performance super.,it
481,"No bubble wrap, worst packing.",mix,support,AP,2026-01-08,packaging,negative,0,"no bubble wrap, worst packing.",en
482,Great service 👏 3 days wait pannanum,ta,youtube,MH,2026-02-07,packaging,negative,1,great service 👏 3 days wait pannanum,en
483,Worth for money ✅,mix,twitter,TS,2026-02-19,price,positive,0,worth for money ✅,en
484,Delivery worst. Tracking update illa.,mix,youtube,DL,2025-12-29,delivery,negative,0,delivery worst. tracking update illa.,en
485,Idhu Price average.,ta,instagram,TS,2026-02-19,price,neutral,0,idhu price average.,fr
486,"Refund romba slow, 3 days aachu.",mix,twitter,TS,2026-01-09,refund,negative,0,"refund romba slow, 3 days aachu.",so
487,"App ok, sometimes slow.",en,instagram,AP,2025-12-23,app,neutral,0,"app ok, sometimes slow.",en
